2024-07-31 11:25:15,396 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 12/16 Total Loss:0.1568 ACC:0.69 lr:0.00099778 
2024-07-31 11:25:15,396 | trainer | INFO  |  train.py:149  |  class0 acc0.69 recall:0.69 
2024-07-31 11:25:15,396 | trainer | INFO  |  train.py:149  |  class1 acc0.69 recall:0.69 
2024-07-31 11:25:15,406 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 13/16 Total Loss:0.1564 ACC:0.68 lr:0.00099778 
2024-07-31 11:25:15,406 | trainer | INFO  |  train.py:149  |  class0 acc0.69 recall:0.64 
2024-07-31 11:25:15,406 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:0.71 
2024-07-31 11:25:15,417 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 14/16 Total Loss:0.1603 ACC:0.63 lr:0.00099778 
2024-07-31 11:25:15,417 | trainer | INFO  |  train.py:149  |  class0 acc0.60 recall:0.64 
2024-07-31 11:25:15,417 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:0.62 
2024-07-31 11:25:15,428 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 15/16 Total Loss:0.1586 ACC:0.66 lr:0.00099778 
2024-07-31 11:25:15,428 | trainer | INFO  |  train.py:149  |  class0 acc0.65 recall:0.69 
2024-07-31 11:25:15,428 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:0.62 
2024-07-31 11:25:16,251 | trainer | INFO  |  train.py:217  |  --------------------------------------------------------------------------------------------------------------------------------
2024-07-31 11:25:19,869 | trainer | INFO  |  train.py:71  |  Eval ALL ACC:1.00 
2024-07-31 11:25:19,870 | trainer | INFO  |  train.py:73  |  class0 acc0.00 recall:0.00 
2024-07-31 11:25:19,870 | trainer | INFO  |  train.py:73  |  class1 acc1.00 recall:1.00 
2024-07-31 11:25:20,292 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 0/16 Total Loss:0.1506 ACC:0.50 lr:0.00099606 
2024-07-31 11:25:20,292 | trainer | INFO  |  train.py:149  |  class0 acc0.00 recall:0.00 
2024-07-31 11:25:20,292 | trainer | INFO  |  train.py:149  |  class1 acc0.50 recall:1.00 
2024-07-31 11:25:20,617 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 1/16 Total Loss:0.1163 ACC:0.75 lr:0.00099606 
2024-07-31 11:25:20,617 | trainer | INFO  |  train.py:149  |  class0 acc0.00 recall:0.00 
2024-07-31 11:25:20,617 | trainer | INFO  |  train.py:149  |  class1 acc0.75 recall:1.00 
2024-07-31 11:25:20,968 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 2/16 Total Loss:0.1262 ACC:0.83 lr:0.00099606 
2024-07-31 11:25:20,968 | trainer | INFO  |  train.py:149  |  class0 acc1.00 recall:0.50 
2024-07-31 11:25:20,968 | trainer | INFO  |  train.py:149  |  class1 acc0.80 recall:1.00 
2024-07-31 11:25:21,304 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 3/16 Total Loss:0.1469 ACC:0.75 lr:0.00099606 
2024-07-31 11:25:21,305 | trainer | INFO  |  train.py:149  |  class0 acc1.00 recall:0.50 
2024-07-31 11:25:21,305 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:1.00 
2024-07-31 11:25:21,707 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 4/16 Total Loss:0.1366 ACC:0.80 lr:0.00099606 
2024-07-31 11:25:21,708 | trainer | INFO  |  train.py:149  |  class0 acc1.00 recall:0.67 
2024-07-31 11:25:21,708 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:1.00 
2024-07-31 11:25:21,977 | trainer | INFO  |  train.py:137  |  Traning Epoch:5/100 Current Batch: 5/16 Total Loss:0.1432 ACC:0.75 lr:0.00099606 
2024-07-31 11:25:21,977 | trainer | INFO  |  train.py:149  |  class0 acc0.80 recall:0.67 
